Point #0: x=299.3999938964844, y=133.2400360107422, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #99: x=334.3560485839844, y=74.32872772216797, z=0.29999998211860657, yaw=90.00005340576172
Point #100: x=339.01873779296875, y=116.54576110839844, z=0.29999998211860657, yaw=-89.99993896484375
Point #101: x=88.13700866699219, y=77.93560028076172, z=0.29999998211860657, yaw=90.00005340576172
Point #102: x=92.7997055053711, y=116.54576110839844, z=0.29999998211860657, yaw=-89.99993896484375
Point #103: x=87.68768310546875, y=145.67129516601562, z=0.29999998211860657, yaw=90.00005340576172
Point #104: x=92.76799774169922, y=183.88839721679688, z=0.29999998211860657, yaw=-89.99999237060547
Point #105: x=334.21539306640625, y=145.67129516601562, z=0.29999998211860657, yaw=90.00005340576172
Point #106: x=339.2957763671875, y=183.88839721679688, z=0.29999998211860657, yaw=-89.99999237060547
Point #107: x=334.83502197265625, y=14.213335037231445, z=0.29999998211860657, yaw=90.00005340576172
Point #108: x=1.5099804401397705, y=249.42999267578125, z=0.29999998211860657, yaw=-90.00029754638672
Point #109: x=339.2957763671875, y=45.07813262939453, z=0.29999998211860657, yaw=-89.99999237060547
Point #110: x=153.65826416015625, y=14.213335037231445, z=0.29999998211860657, yaw=90.00005340576172
Point #111: x=158.11900329589844, y=45.07813262939453, z=0.29999998211860657, yaw=-89.99999237060547
Point #112: x=87.71388244628906, y=14.213335037231445, z=0.29999998211860657, yaw=90.00005340576172
Point #113: x=92.17462921142578, y=45.07813262939453, z=0.29999998211860657, yaw=-89.99999237060547
Point #114: x=104.8687973022461, y=59.99010467529297, z=0.29999998211860657, yaw=0.0
Point #115: x=140.8768310546875, y=55.5607795715332, z=0.29999998211860657, yaw=-179.99998474121094
Point #116: x=104.8687973022461, y=2.461965322494507, z=0.29999998211860657, yaw=0.0
Point #117: x=140.8768310546875, y=-1.9673608541488647, z=0.29999998211860657, yaw=-179.99998474121094
Point #118: x=352.0755310058594, y=2.2301647663116455, z=0.29999998211860657, yaw=0.0
Point #119: x=-1.2800195217132568, y=309.4599914550781, z=0.29999998211860657, yaw=90.00004577636719
Point #120: x=383.17987060546875, y=-2.1991612911224365, z=0.29999998211860657, yaw=-179.99998474121094
Point #121: x=13.568642616271973, y=2.461965322494507, z=0.29999998211860657, yaw=0.0
Point #122: x=76.44566345214844, y=-1.9673608541488647, z=0.29999998211860657, yaw=-179.99998474121094
Point #123: x=13.568642616271973, y=330.4619445800781, z=0.29999998211860657, yaw=0.0
Point #124: x=76.44566345214844, y=326.4326171875, z=0.29999998211860657, yaw=-179.99998474121094
Point #125: x=350.8720703125, y=330.9415283203125, z=0.29999998211860657, yaw=0.0
Point #126: x=381.9764099121094, y=326.35064697265625, z=0.29999998211860657, yaw=-179.99998474121094
Point #127: x=381.9800720214844, y=330.8915100097656, z=0.29999998211860657, yaw=0.0
Point #128: x=248.7059783935547, y=133.23997497558594, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #129: x=12.785676956176758, y=-2.073781967163086, z=0.29999998211860657, yaw=-179.99998474121094
Point #130: x=1.5099139213562012, y=295.4233093261719, z=0.29999998211860657, yaw=-90.00029754638672
Point #131: x=259.39117431640625, y=133.23997497558594, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #132: x=248.39857482910156, y=129.7498016357422, z=0.29999998211860657, yaw=179.999755859375
Point #133: x=259.5984191894531, y=129.74978637695312, z=0.29999998211860657, yaw=179.999755859375
Point #134: x=283.6458740234375, y=133.43006896972656, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #135: x=283.6722717285156, y=129.48997497558594, z=0.29999998211860657, yaw=179.999755859375
Point #136: x=161.10308837890625, y=195.26976013183594, z=0.29999998211860657, yaw=179.999755859375
Point #137: x=121.78265380859375, y=198.75843811035156, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #138: x=176.58949279785156, y=129.74913024902344, z=0.29999998211860657, yaw=179.999755859375
Point #139: x=288.23748779296875, y=59.33000946044922, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #140: x=288.23748779296875, y=55.839969635009766, z=0.29999998211860657, yaw=179.999755859375
Point #141: x=392.4700012207031, y=212.89999389648438, z=0.29999998211860657, yaw=90.00004577636719
Point #142: x=257.2313537597656, y=59.330135345458984, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #143: x=257.2313537597656, y=55.84009552001953, z=0.29999998211860657, yaw=179.999755859375
Point #144: x=268.5865783691406, y=-1.9599138498306274, z=0.29999998211860657, yaw=179.9996337890625
Point #145: x=256.55120849609375, y=2.0201635360717773, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #146: x=256.55120849609375, y=-1.9598363637924194, z=0.29999998211860657, yaw=179.9996337890625
Point #147: x=293.288818359375, y=2.019927501678467, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #148: x=293.288818359375, y=-1.96007239818573, z=0.29999998211860657, yaw=179.9996337890625
Point #149: x=229.78167724609375, y=2.0201120376586914, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #150: x=229.78167724609375, y=-1.959887981414795, z=0.29999998211860657, yaw=179.9996337890625
Point #151: x=187.5231475830078, y=2.020054578781128, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #152: x=132.35960388183594, y=195.01046752929688, z=0.29999998211860657, yaw=179.999755859375
Point #153: x=132.91229248046875, y=198.75889587402344, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #154: x=151.11973571777344, y=198.7598419189453, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #155: x=151.67916870117188, y=195.26983642578125, z=0.29999998211860657, yaw=179.999755859375
Point #156: x=170.82284545898438, y=198.7600860595703, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #157: x=170.82284545898438, y=195.2700958251953, z=0.29999998211860657, yaw=179.999755859375
Point #158: x=222.4978485107422, y=198.75917053222656, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #159: x=223.6689453125, y=195.26910400390625, z=0.29999998211860657, yaw=179.999755859375
Point #160: x=245.8509063720703, y=198.75924682617188, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #161: x=247.02200317382812, y=195.26918029785156, z=0.29999998211860657, yaw=179.999755859375
Point #162: x=270.94085693359375, y=199.05966186523438, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #163: x=392.4700012207031, y=249.42999267578125, z=0.29999998211860657, yaw=90.00004577636719
Point #164: x=270.94085693359375, y=195.5696563720703, z=0.29999998211860657, yaw=179.999755859375
Point #165: x=283.02197265625, y=199.05972290039062, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #166: x=283.02197265625, y=195.56971740722656, z=0.29999998211860657, yaw=179.999755859375
Point #167: x=307.39813232421875, y=199.0607147216797, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #168: x=307.39813232421875, y=195.5707244873047, z=0.29999998211860657, yaw=179.999755859375
Point #169: x=92.10997772216797, y=285.2532043457031, z=0.29999998211860657, yaw=-90.00029754638672
Point #170: x=88.6199722290039, y=275.4779052734375, z=0.29999998211860657, yaw=90.00004577636719
Point #171: x=92.10997009277344, y=275.3381042480469, z=0.29999998211860657, yaw=-90.00029754638672
Point #172: x=88.6199722290039, y=263.1473693847656, z=0.29999998211860657, yaw=90.00004577636719
Point #173: x=92.10997009277344, y=263.0075988769531, z=0.29999998211860657, yaw=-90.00029754638672
Point #174: x=395.9599914550781, y=249.42999267578125, z=0.29999998211860657, yaw=-90.00029754638672
Point #175: x=88.61997985839844, y=247.4580841064453, z=0.29999998211860657, yaw=90.00004577636719
Point #176: x=392.4700012207031, y=308.2099914550781, z=0.29999998211860657, yaw=90.00004577636719
Point #177: x=395.9599914550781, y=308.2099914550781, z=0.29999998211860657, yaw=-90.00029754638672
Point #178: x=392.4700012207031, y=68.86003875732422, z=0.29999998211860657, yaw=90.00004577636719
Point #179: x=395.9599914550781, y=68.86003875732422, z=0.29999998211860657, yaw=-90.00029754638672
Point #180: x=392.4700012207031, y=105.38999938964844, z=0.29999998211860657, yaw=90.00004577636719
Point #181: x=395.9599914550781, y=105.38999938964844, z=0.29999998211860657, yaw=-90.00029754638672
Point #182: x=392.4700012207031, y=9.186657905578613, z=0.29999998211860657, yaw=90.00004577636719
Point #183: x=395.9599914550781, y=164.1699981689453, z=0.29999998211860657, yaw=-90.00029754638672
Point #184: x=392.4700012207031, y=19.9200382232666, z=0.29999998211860657, yaw=90.00004577636719
Point #185: x=396.4499816894531, y=19.9200382232666, z=0.29999998211860657, yaw=-90.00029754638672
Point #186: x=378.17999267578125, y=2.0200390815734863, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #187: x=370.1506652832031, y=-1.9599329233169556, z=0.29999998211860657, yaw=179.9996337890625
Point #188: x=366.5357666015625, y=2.0200233459472656, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #189: x=358.7441711425781, y=-1.9599329233169556, z=0.29999998211860657, yaw=179.9996337890625
Point #190: x=306.28997802734375, y=2.02001953125, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #191: x=88.61997985839844, y=285.39300537109375, z=0.29999998211860657, yaw=90.00004577636719
Point #192: x=278.80999755859375, y=2.02001953125, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #193: x=278.80999755859375, y=-1.9599803686141968, z=0.29999998211860657, yaw=179.9996337890625
Point #194: x=244.09999084472656, y=2.02001953125, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #195: x=244.09999084472656, y=-1.9599803686141968, z=0.29999998211860657, yaw=179.9996337890625
Point #196: x=200.6326446533203, y=2.020034074783325, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #197: x=200.49667358398438, y=-1.959922432899475, z=0.29999998211860657, yaw=179.9996337890625
Point #198: x=173.14999389648438, y=2.02001953125, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #199: x=185.55999755859375, y=-1.9599803686141968, z=0.29999998211860657, yaw=179.9996337890625
Point #200: x=334.8299865722656, y=226.65386962890625, z=0.29999998211860657, yaw=90.00004577636719
Point #201: x=130.8036651611328, y=2.02001953125, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #202: x=130.3652801513672, y=-1.95999014377594, z=0.29999998211860657, yaw=179.9996337890625
Point #203: x=116.97260284423828, y=2.019996404647827, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #204: x=116.63999938964844, y=-1.95999014377594, z=0.29999998211860657, yaw=179.9996337890625
Point #205: x=62.12999725341797, y=2.020014524459839, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #206: x=64.36146545410156, y=-1.9599950313568115, z=0.29999998211860657, yaw=179.9996337890625
Point #207: x=47.939998626708984, y=2.020014524459839, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #208: x=47.939998626708984, y=-1.9599950313568115, z=0.29999998211860657, yaw=179.9996337890625
Point #209: x=338.97998046875, y=273.9259948730469, z=0.29999998211860657, yaw=-90.00029754638672
Point #210: x=29.91197395324707, y=-1.9599987268447876, z=0.29999998211860657, yaw=179.9996337890625
Point #211: x=338.97998046875, y=226.75, z=0.29999998211860657, yaw=-90.00029754638672
Point #212: x=1.55999755859375, y=22.440019607543945, z=0.29999998211860657, yaw=-90.00040435791016
Point #213: x=1.5599950551986694, y=48.70001983642578, z=0.29999998211860657, yaw=-90.00040435791016
Point #214: x=-1.9084486961364746, y=48.70000076293945, z=0.29999998211860657, yaw=89.9996109008789
Point #215: x=1.5599950551986694, y=79.32001495361328, z=0.29999998211860657, yaw=-90.00040435791016
Point #216: x=-1.7406071424484253, y=85.91999816894531, z=0.29999998211860657, yaw=89.9996109008789
Point #217: x=1.5599901676177979, y=120.02001953125, z=0.29999998211860657, yaw=-90.00040435791016
Point #218: x=392.4700012207031, y=87.41051483154297, z=0.29999998211860657, yaw=90.00004577636719
Point #219: x=1.5599901676177979, y=149.83001708984375, z=0.29999998211860657, yaw=-90.00040435791016
Point #220: x=-2.4200096130371094, y=149.8300018310547, z=0.29999998211860657, yaw=89.9996109008789
Point #221: x=335.489990234375, y=249.42999267578125, z=0.29999998211860657, yaw=90.00004577636719
Point #222: x=1.5599803924560547, y=187.9700164794922, z=0.29999998211860657, yaw=-90.00040435791016
Point #223: x=-2.4200193881988525, y=187.97000122070312, z=0.29999998211860657, yaw=89.9996109008789
Point #224: x=88.61998748779297, y=169.84999084472656, z=0.29999998211860657, yaw=90.00004577636719
Point #225: x=92.10990142822266, y=170.5440216064453, z=0.29999998211860657, yaw=-90.00029754638672
Point #226: x=395.9599914550781, y=191.06936645507812, z=0.29999998211860657, yaw=-90.00029754638672
Point #227: x=92.1099853515625, y=159.9499969482422, z=0.29999998211860657, yaw=-90.00029754638672
Point #228: x=88.61998748779297, y=111.18923950195312, z=0.29999998211860657, yaw=90.00004577636719
Point #229: x=92.1099853515625, y=105.66153717041016, z=0.29999998211860657, yaw=-90.00029754638672
Point #230: x=88.61998748779297, y=101.83394622802734, z=0.29999998211860657, yaw=90.00004577636719
Point #231: x=92.1099853515625, y=94.09305572509766, z=0.29999998211860657, yaw=-90.00029754638672
Point #232: x=338.97998046875, y=249.42999267578125, z=0.29999998211860657, yaw=-90.00029754638672
Point #233: x=392.4700012207031, y=190.6240997314453, z=0.29999998211860657, yaw=90.00004577636719
Point #234: x=92.11000061035156, y=81.83161926269531, z=0.29999998211860657, yaw=-90.00029754638672
Point #235: x=392.4700012207031, y=163.92144775390625, z=0.29999998211860657, yaw=90.00004577636719
Point #236: x=92.11000061035156, y=30.820009231567383, z=0.29999998211860657, yaw=-90.00029754638672
Point #237: x=88.6199951171875, y=30.85999870300293, z=0.29999998211860657, yaw=90.00004577636719
Point #238: x=88.61998748779297, y=90.58333587646484, z=0.29999998211860657, yaw=90.00004577636719
Point #239: x=268.5865783691406, y=2.0200860500335693, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #240: x=119.46998596191406, y=129.75, z=0.29999998211860657, yaw=179.999755859375
Point #241: x=128.94998168945312, y=133.24002075195312, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #242: x=128.94998168945312, y=129.75, z=0.29999998211860657, yaw=179.999755859375
Point #243: x=335.489990234375, y=298.80999755859375, z=0.29999998211860657, yaw=90.00004577636719
Point #244: x=157.1899871826172, y=133.24002075195312, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #245: x=157.1899871826172, y=129.75, z=0.29999998211860657, yaw=179.999755859375
Point #246: x=191.3199920654297, y=133.24002075195312, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #247: x=191.3199920654297, y=129.75, z=0.29999998211860657, yaw=179.999755859375
Point #248: x=220.13681030273438, y=133.24014282226562, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #249: x=219.64501953125, y=129.7499542236328, z=0.29999998211860657, yaw=179.999755859375
Point #250: x=237.6999969482422, y=133.239990234375, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #251: x=237.6999969482422, y=129.75, z=0.29999998211860657, yaw=179.999755859375
Point #252: x=270.79998779296875, y=133.43003845214844, z=0.29999998211860657, yaw=-9.1552734375e-05
Point #253: x=271.0400085449219, y=129.489990234375, z=0.29999998211860657, yaw=179.999755859375
Point #254: x=338.97998046875, y=301.2599792480469, z=0.29999998211860657, yaw=-90.00029754638672
