Point #0: x=-6.446169853210449, y=-79.05502319335938, z=0.27530714869499207, yaw=92.00418853759766
Point #58: x=-77.98506927490234, y=-30.23978042602539, z=0.27530714869499207, yaw=-90.15623474121094
Point #59: x=-74.4850845336914, y=-44.04933166503906, z=0.27530714869499207, yaw=-90.15623474121094
Point #60: x=-84.95662689208984, y=-23.27829933166504, z=0.27530714869499207, yaw=89.84374237060547
Point #61: x=-88.45661163330078, y=-33.56875991821289, z=0.27530714869499207, yaw=89.84374237060547
Point #62: x=-85.04080963134766, y=-54.07712173461914, z=0.27530714869499207, yaw=89.84374237060547
Point #63: x=-88.54078674316406, y=-64.36758422851562, z=0.27530714869499207, yaw=89.84374237060547
Point #64: x=-85.14688110351562, y=-92.97565460205078, z=0.27530714869499207, yaw=89.84374237060547
Point #65: x=-88.64686584472656, y=-103.26611328125, z=0.27530714869499207, yaw=89.84374237060547
Point #66: x=-148.97052001953125, y=-72.44021606445312, z=0.9952509999275208, yaw=90.02982330322266
Point #67: x=-31.32554054260254, y=131.2431640625, z=0.27530714869499207, yaw=178.70315551757812
Point #68: x=-47.46503448486328, y=135.09120178222656, z=0.27530714869499207, yaw=-1.29681396484375
Point #69: x=-25.969865798950195, y=134.6634979248047, z=0.27530714869499207, yaw=-1.29681396484375
Point #70: x=31.28297996520996, y=-207.2210693359375, z=0.27530714869499207, yaw=-178.5604705810547
Point #71: x=28.79505157470703, y=-203.72216796875, z=0.27530714869499207, yaw=-178.5604705810547
Point #72: x=62.240394592285156, y=-192.64495849609375, z=0.27530714869499207, yaw=1.439546823501587
Point #73: x=54.12854766845703, y=-196.1438446044922, z=0.27530714869499207, yaw=1.4395438432693481
Point #74: x=117.40164947509766, y=-205.05718994140625, z=0.27530714869499207, yaw=-178.5604705810547
Point #75: x=108.61357879638672, y=-201.75830078125, z=0.27530714869499207, yaw=-178.5604705810547
Point #76: x=154.55789184570312, y=-166.5913848876953, z=3.7880382537841797, yaw=-89.0035171508789
Point #77: x=-145.51931762695312, y=21.290267944335938, z=0.27530714869499207, yaw=-89.97014617919922
Point #78: x=153.4598388671875, y=-102.39739990234375, z=8.305596351623535, yaw=-89.0035171508789
Point #79: x=124.95010375976562, y=-132.09475708007812, z=8.305596351623535, yaw=1.2272652387619019
Point #80: x=110.06359100341797, y=-135.91453552246094, z=8.305596351623535, yaw=-178.77268981933594
Point #81: x=84.18406677246094, y=-105.19170379638672, z=8.305596351623535, yaw=-87.97588348388672
Point #82: x=115.53240203857422, y=-76.35523986816406, z=8.305596351623535, yaw=-178.49087524414062
Point #83: x=230.82467651367188, y=35.70989227294922, z=0.27530714869499207, yaw=91.39320373535156
Point #84: x=234.3236541748047, y=27.495038986206055, z=0.27530714869499207, yaw=91.39320373535156
Point #85: x=-54.75082015991211, y=-2.8988778591156006, z=0.27530714869499207, yaw=-179.70538330078125
Point #86: x=-149.02493286132812, y=31.959774017333984, z=0.27530714869499207, yaw=90.02982330322266
Point #87: x=131.03890991210938, y=62.489871978759766, z=0.27530714869499207, yaw=-0.14739990234375
Point #88: x=124.70004272460938, y=59.00621795654297, z=0.27530714869499207, yaw=179.85255432128906
Point #89: x=204.70285034179688, y=58.80038833618164, z=0.27530714869499207, yaw=179.85255432128906
Point #90: x=-117.97545623779297, y=33.97294235229492, z=0.27530714869499207, yaw=134.6768035888672
Point #91: x=-114.78262329101562, y=35.864051818847656, z=0.27530714869499207, yaw=134.6768035888672
Point #92: x=125.36009216308594, y=-135.58682250976562, z=8.305596351623535, yaw=-178.77268981933594
Point #93: x=109.65359497070312, y=-132.42245483398438, z=8.305596351623535, yaw=1.2272652387619019
Point #94: x=42.84650421142578, y=-193.13241577148438, z=0.27530714869499207, yaw=1.439546823501587
Point #95: x=34.73466110229492, y=-196.6313018798828, z=0.27530714869499207, yaw=1.4395438432693481
Point #96: x=55.67530059814453, y=-206.60818481445312, z=0.27530714869499207, yaw=-178.5604705810547
Point #97: x=53.18737030029297, y=-203.10926818847656, z=0.27530714869499207, yaw=-178.5604705810547
Point #98: x=-118.07928466796875, y=0.27553924918174744, z=0.27530714869499207, yaw=0.2946079969406128
Point #99: x=186.51962280273438, y=-5.502128601074219, z=0.27530714869499207, yaw=-179.1441650390625
Point #100: x=197.0673370361328, y=-2.0025179386138916, z=0.27530714869499207, yaw=-179.1441650390625
Point #101: x=165.62258911132812, y=-5.900934219360352, z=0.27530714869499207, yaw=-179.1441650390625
Point #102: x=176.0703125, y=-2.401322603225708, z=0.27530714869499207, yaw=-179.1441650390625
Point #103: x=116.63027954101562, y=-6.581954002380371, z=0.27530714869499207, yaw=-179.1441650390625
Point #104: x=127.07760620117188, y=-3.0823497772216797, z=0.27530714869499207, yaw=-179.1441650390625
Point #105: x=98.9326171875, y=-6.8971147537231445, z=0.27530714869499207, yaw=-179.1441650390625
Point #106: x=105.97994232177734, y=-3.397510290145874, z=0.27530714869499207, yaw=-179.1441650390625
Point #107: x=-87.96704864501953, y=87.14187622070312, z=0.9440809488296509, yaw=89.78770446777344
Point #108: x=-84.56669616699219, y=96.63052368164062, z=0.7440809607505798, yaw=89.78767395019531
Point #109: x=-88.05667877197266, y=66.84207916259766, z=1.1372835636138916, yaw=89.78770446777344
Point #110: x=-84.65632629394531, y=72.43073272705078, z=1.1372835636138916, yaw=89.78767395019531
Point #111: x=80.51756286621094, y=-104.026123046875, z=8.305596351623535, yaw=92.02408599853516
Point #112: x=4.9976983070373535, y=55.38755798339844, z=0.27530714869499207, yaw=-88.8912353515625
Point #113: x=1.4983549118041992, y=62.019832611083984, z=0.27530714869499207, yaw=-88.8912353515625
Point #114: x=4.672596454620361, y=69.6249771118164, z=0.27530714869499207, yaw=-88.8912353515625
Point #115: x=239.623291015625, y=92.17532348632812, z=0.5734333395957947, yaw=-88.60533905029297
Point #116: x=243.12228393554688, y=103.15996551513672, z=0.9734333753585815, yaw=-88.60674285888672
Point #117: x=245.1942138671875, y=28.095138549804688, z=0.27530714869499207, yaw=-88.60674285888672
Point #118: x=1.6732555627822876, y=79.5572509765625, z=0.27530714869499207, yaw=-88.8912353515625
Point #119: x=241.69525146484375, y=17.510042190551758, z=0.27530714869499207, yaw=-88.60674285888672
Point #120: x=49.91403579711914, y=-7.778184413909912, z=0.27530714869499207, yaw=-179.1441650390625
Point #121: x=56.96175765991211, y=-4.2785749435424805, z=0.27530714869499207, yaw=-179.1441650390625
Point #122: x=-6.446169853210449, y=-61.717132568359375, z=0.27530714869499207, yaw=92.00418853759766
Point #123: x=-2.6483113765716553, y=-69.89472961425781, z=0.27530714869499207, yaw=92.00418853759766
Point #124: x=220.40966796875, y=-5.085507869720459, z=0.27530714869499207, yaw=-179.1442108154297
Point #125: x=227.2574005126953, y=-1.5858983993530273, z=0.27530714869499207, yaw=-179.1442108154297
Point #126: x=-88.71099090576172, y=-119.56523132324219, z=0.27530714869499207, yaw=89.84374237060547
Point #127: x=-74.54647064208984, y=-148.4326934814453, z=0.27530714869499207, yaw=-88.4347152709961
Point #128: x=-78.0451431274414, y=-157.62892150878906, z=0.27530714869499207, yaw=-88.4346923828125
Point #129: x=-3.098442554473877, y=-183.5139923095703, z=0.27530714869499207, yaw=91.41353607177734
Point #130: x=-18.582256317138672, y=-204.67431640625, z=0.27530714869499207, yaw=-178.5604705810547
Point #131: x=0.7004992365837097, y=-189.7279510498047, z=0.27530714869499207, yaw=91.41353607177734
Point #132: x=23.752519607543945, y=-193.61224365234375, z=0.27530714869499207, yaw=1.4395471811294556
Point #133: x=-6.594831466674805, y=-208.17323303222656, z=0.27530714869499207, yaw=-178.5604705810547
Point #134: x=15.640681266784668, y=-197.1111297607422, z=0.27530714869499207, yaw=1.4395443201065063
Point #135: x=82.69561004638672, y=-184.77346801757812, z=0.27530714869499207, yaw=90.153564453125
Point #136: x=-26.262718200683594, y=-7.955658435821533, z=0.27530714869499207, yaw=143.07748413085938
Point #137: x=103.99740600585938, y=-191.6208038330078, z=0.27530714869499207, yaw=1.4395471811294556
Point #138: x=74.16944122314453, y=-206.14361572265625, z=0.27530714869499207, yaw=-178.5604705810547
Point #139: x=71.68151092529297, y=-202.6446990966797, z=0.27530714869499207, yaw=-178.5604705810547
Point #140: x=94.88572692871094, y=-195.11968994140625, z=0.27530714869499207, yaw=1.4395443201065063
Point #141: x=178.7642364501953, y=-193.89999389648438, z=0.27530714869499207, yaw=0.0
Point #142: x=143.19349670410156, y=-204.4090118408203, z=0.27530714869499207, yaw=-178.5604705810547
Point #143: x=129.9054412841797, y=-201.2101287841797, z=0.27530714869499207, yaw=-178.5604705810547
Point #144: x=163.86422729492188, y=-197.39999389648438, z=0.27530714869499207, yaw=0.0
Point #145: x=80.8740005493164, y=-11.542411804199219, z=0.5, yaw=-87.97586059570312
Point #146: x=64.26287078857422, y=-7.414976596832275, z=0.44999998807907104, yaw=-179.1441650390625
Point #147: x=86.20638275146484, y=7.808422565460205, z=0.27530714869499207, yaw=0.8558228611946106
Point #148: x=97.15866088867188, y=4.308813095092773, z=0.27530714869499207, yaw=0.8558228611946106
Point #149: x=71.3103256225586, y=-3.9153716564178467, z=0.44999998807907104, yaw=-179.1441650390625
Point #150: x=81.36341857910156, y=-124.47649383544922, z=8.305596351623535, yaw=92.02410888671875
Point #151: x=73.19366455078125, y=-136.70431518554688, z=8.605596542358398, yaw=-178.77268981933594
Point #152: x=85.59086608886719, y=-144.9974365234375, z=8.305596351623535, yaw=-87.97588348388672
Point #153: x=93.75715637207031, y=-132.76296997070312, z=8.305596351623535, yaw=1.2272647619247437
Point #154: x=-88.64411163330078, y=149.85055541992188, z=0.27530714869499207, yaw=89.78770446777344
Point #155: x=-101.63247680664062, y=132.628662109375, z=0.27530714869499207, yaw=178.70315551757812
Point #156: x=-85.14412689208984, y=144.53883361816406, z=0.27530714869499207, yaw=89.78767395019531
Point #157: x=-59.36075210571289, y=135.46693420410156, z=0.27530714869499207, yaw=-1.29681396484375
Point #158: x=-77.52698516845703, y=109.82638549804688, z=0.5285891890525818, yaw=-90.15624237060547
Point #159: x=-74.0270004272461, y=119.11683654785156, z=0.4285891652107239, yaw=-90.15624237060547
Point #160: x=-9.43769359588623, y=143.1094207763672, z=0.27530714869499207, yaw=89.63746643066406
Point #161: x=-5.93776273727417, y=148.9872589111328, z=0.27530714869499207, yaw=89.63746643066406
Point #162: x=1.9308555126190186, y=109.09849548339844, z=0.27530714869499207, yaw=-90.36254119873047
Point #163: x=5.430785179138184, y=122.2763442993164, z=0.27530714869499207, yaw=-90.36254119873047
Point #164: x=13.994346618652344, y=134.39263916015625, z=0.27530714869499207, yaw=-0.8168334364891052
Point #165: x=-16.63002586364746, y=130.84478759765625, z=0.27530714869499207, yaw=178.70315551757812
Point #166: x=-149.06358337402344, y=107.70558166503906, z=0.27530714869499207, yaw=89.62203216552734
Point #167: x=-13.384322166442871, y=193.564453125, z=0.27530714869499207, yaw=179.85699462890625
Point #168: x=-23.575590133666992, y=197.06442260742188, z=0.27530714869499207, yaw=179.85699462890625
Point #169: x=13.181384086608887, y=204.00567626953125, z=0.27530714869499207, yaw=-0.142974853515625
Point #170: x=22.490116119384766, y=207.50567626953125, z=0.27530714869499207, yaw=-0.142974853515625
Point #171: x=2.354271650314331, y=189.21514892578125, z=0.27530714869499207, yaw=-90.36254119873047
Point #172: x=5.854200839996338, y=184.69288635253906, z=0.27530714869499207, yaw=-90.36254119873047
Point #173: x=-145.56019592285156, y=99.70096588134766, z=0.27530714869499207, yaw=-89.97014617919922
Point #174: x=151.35726928710938, y=-182.78427124023438, z=0.5999999642372131, yaw=90.9964828491211
Point #175: x=97.27885437011719, y=63.11749267578125, z=0.27530714869499207, yaw=-10.416641235351562
Point #176: x=-149.0479278564453, y=76.1436996459961, z=0.27530714869499207, yaw=90.02982330322266
Point #177: x=2.2945592403411865, y=176.87823486328125, z=0.27530714869499207, yaw=-90.36254119873047
Point #178: x=5.794488906860352, y=167.55609130859375, z=0.27530714869499207, yaw=-90.36254119873047
Point #179: x=-9.20521068572998, y=179.85101318359375, z=0.27530714869499207, yaw=89.63746643066406
Point #180: x=-5.70527982711792, y=185.72886657714844, z=0.27530714869499207, yaw=89.63746643066406
Point #181: x=138.32861328125, y=-6.351933002471924, z=0.27530714869499207, yaw=-179.1441650390625
Point #182: x=151.93869018554688, y=-14.957594871520996, z=0.5, yaw=-89.0035171508789
Point #183: x=-145.53578186035156, y=52.828338623046875, z=0.27530714869499207, yaw=-89.97014617919922
Point #184: x=146.27593994140625, y=-2.8523290157318115, z=0.27530714869499207, yaw=-179.1441650390625
Point #185: x=166.37709045410156, y=5.371150493621826, z=0.27530714869499207, yaw=0.855804443359375
Point #186: x=157.32481384277344, y=8.870759963989258, z=0.27530714869499207, yaw=0.855804443359375
Point #187: x=6.316784381866455, y=-25.29715919494629, z=0.27530714869499207, yaw=-108.03324890136719
Point #188: x=8.044854164123535, y=-34.28064727783203, z=0.27530714869499207, yaw=-108.03324890136719
Point #189: x=220.14564514160156, y=6.3087615966796875, z=0.27530714869499207, yaw=0.855804443359375
Point #190: x=-136.97901916503906, y=0.17835818231105804, z=0.27530714869499207, yaw=0.294607549905777
Point #191: x=209.99334716796875, y=9.808370590209961, z=0.27530714869499207, yaw=0.855804443359375
Point #192: x=207.0811309814453, y=-5.189955234527588, z=0.27531448006629944, yaw=-179.1441650390625
Point #193: x=214.12884521484375, y=-1.6903462409973145, z=0.27531448006629944, yaw=-179.1441650390625
Point #194: x=-60.5035400390625, y=187.43173217773438, z=0.27530714869499207, yaw=-144.4464111328125
Point #195: x=-61.63835906982422, y=190.7794647216797, z=0.27530714869499207, yaw=-144.44728088378906
Point #196: x=-49.19198989868164, y=203.18687438964844, z=0.27530714869499207, yaw=12.333569526672363
Point #197: x=-51.339599609375, y=206.60609436035156, z=0.27530714869499207, yaw=12.333569526672363
Point #198: x=-149.01095581054688, y=5.159777641296387, z=0.40992292761802673, yaw=90.02982330322266
Point #199: x=245.8651123046875, y=0.5032958984375, z=0.27530714869499207, yaw=-88.60674285888672
Point #200: x=-145.50387573242188, y=-8.40972900390625, z=0.40487220883369446, yaw=-89.97014617919922
Point #201: x=107.89705657958984, y=62.55741500854492, z=0.2753047049045563, yaw=-0.147430419921875
Point #202: x=-9.261773109436035, y=155.70883178710938, z=0.27524489164352417, yaw=89.63746643066406
Point #203: x=-5.761843204498291, y=161.58668518066406, z=0.27524489164352417, yaw=89.63746643066406
Point #204: x=2.184858560562134, y=159.5411376953125, z=0.27530714869499207, yaw=-90.36254119873047
Point #205: x=242.36614990234375, y=-10.08180046081543, z=0.27530714869499207, yaw=-88.60674285888672
Point #206: x=5.684788703918457, y=153.81900024414062, z=0.27530714869499207, yaw=-90.36254119873047
Point #207: x=-13.931132316589355, y=168.72802734375, z=0.27530714869499207, yaw=168.90008544921875
Point #208: x=79.49516296386719, y=-71.6148452758789, z=8.305596351623535, yaw=92.02408599853516
Point #209: x=83.27630615234375, y=-79.50776672363281, z=8.305596351623535, yaw=-87.97588348388672
Point #210: x=4.926102638244629, y=40.57860565185547, z=0.27530714869499207, yaw=-88.8912353515625
Point #211: x=1.426758050918579, y=47.21087646484375, z=0.27530714869499207, yaw=-88.8912353515625
Point #212: x=-10.073487281799316, y=51.42850875854492, z=0.27530714869499207, yaw=89.63746643066406
Point #213: x=-6.573556900024414, y=43.50636291503906, z=0.27530714869499207, yaw=89.63746643066406
Point #214: x=144.75537109375, y=-135.17124938964844, z=8.305596351623535, yaw=-178.77268981933594
Point #215: x=154.12709045410156, y=-140.75875854492188, z=8.305596351623535, yaw=-89.0035171508789
Point #216: x=234.76988220214844, y=3.550551652908325, z=0.27530714869499207, yaw=91.39320373535156
Point #217: x=150.3661346435547, y=-125.78666687011719, z=8.305596351623535, yaw=90.9964828491211
Point #218: x=-6.446169853210449, y=-42.19375228881836, z=0.27530714869499207, yaw=92.00418853759766
Point #219: x=-2.6483113765716553, y=-50.37135314941406, z=0.27530714869499207, yaw=92.00418853759766
Point #220: x=7.903517723083496, y=-57.52961349487305, z=0.27530714869499207, yaw=-88.58641815185547
Point #221: x=4.104583263397217, y=-46.1159553527832, z=0.27530714869499207, yaw=-88.58641815185547
Point #222: x=240.81761169433594, y=53.58905792236328, z=0.29999998211860657, yaw=-88.60533905029297
Point #223: x=231.2709197998047, y=14.26545238494873, z=0.27530714869499207, yaw=91.39320373535156
Point #224: x=225.70278930664062, y=58.74635696411133, z=0.3499999940395355, yaw=179.85255432128906
Point #225: x=229.373779296875, y=93.3993911743164, z=0.6499999761581421, yaw=91.39320373535156
Point #226: x=232.97274780273438, y=82.18453979492188, z=0.44999998807907104, yaw=91.39320373535156
Point #227: x=244.31658935546875, y=64.27371978759766, z=0.29999998211860657, yaw=-88.60674285888672
Point #228: x=-42.350990295410156, y=-2.835118293762207, z=0.27530714869499207, yaw=-179.70538330078125
Point #229: x=-40.41106414794922, y=0.6854625344276428, z=0.27530714869499207, yaw=1.6669405698776245
Point #230: x=-10.648787498474121, y=34.00116729736328, z=0.27530714869499207, yaw=98.62480163574219
Point #231: x=-9.017538070678711, y=24.410858154296875, z=0.27530714869499207, yaw=78.62488555908203
Point #232: x=-21.252513885498047, y=11.105012893676758, z=0.27530714869499207, yaw=61.806827545166016
Point #233: x=-20.467727661132812, y=0.3515026867389679, z=0.27530714869499207, yaw=81.80699920654297
Point #234: x=134.91160583496094, y=-75.6125717163086, z=8.305596351623535, yaw=-178.49087524414062
Point #235: x=149.3912811279297, y=-67.85892486572266, z=8.305599212646484, yaw=90.9964828491211
Point #236: x=153.0302734375, y=-84.65576171875, z=8.30562686920166, yaw=-89.0035171508789
Point #237: x=10.139041900634766, y=-146.58253479003906, z=0.27530714869499207, yaw=-88.58641815185547
Point #238: x=6.640107154846191, y=-156.76885986328125, z=0.27530714869499207, yaw=-88.58641815185547
Point #239: x=-0.8658573627471924, y=-116.85084533691406, z=0.27530714869499207, yaw=91.41353607177734
Point #240: x=-4.364792346954346, y=-126.3371810913086, z=0.27530714869499207, yaw=91.41353607177734
Point #241: x=-11.102113723754883, y=-138.51019287109375, z=0.27530714869499207, yaw=-178.77268981933594
Point #242: x=16.876914978027344, y=-134.40997314453125, z=0.3999999761581421, yaw=1.2272647619247437
Point #243: x=26.509408950805664, y=7.425339698791504, z=0.27530714869499207, yaw=-13.668415069580078
Point #244: x=37.28235626220703, y=3.4244604110717773, z=0.27530714869499207, yaw=-13.668415069580078
Point #245: x=16.030826568603516, y=10.789361000061035, z=0.27530714869499207, yaw=-58.79703903198242
Point #246: x=13.72380256652832, y=18.817155838012695, z=0.27530714869499207, yaw=-38.797035217285156
Point #247: x=35.54818344116211, y=-7.843905448913574, z=0.27530714869499207, yaw=-179.1441650390625
Point #248: x=42.59590148925781, y=-4.344295978546143, z=0.27530714869499207, yaw=-179.1441650390625
Point #249: x=52.77627944946289, y=3.684684991836548, z=0.27530714869499207, yaw=0.855804443359375
Point #250: x=44.424007415771484, y=7.1842942237854, z=0.27530714869499207, yaw=0.855804443359375
Point #251: x=157.29991149902344, y=58.91049575805664, z=0.27530714869499207, yaw=179.85255432128906
Point #252: x=167.17308044433594, y=71.14232635498047, z=0.44999998807907104, yaw=89.9891586303711
Point #253: x=175.93885803222656, y=62.37438201904297, z=0.5753071308135986, yaw=-0.14739990234375
Point #254: x=-100.46805572509766, y=16.266956329345703, z=0.27530714869499207, yaw=134.6768035888672
Point #255: x=-97.62361145019531, y=19.07927894592285, z=0.5753071308135986, yaw=134.6768035888672
Point #256: x=-95.79371643066406, y=-3.1099166870117188, z=0.27530714869499207, yaw=-179.7053985595703
Point #257: x=-67.32383728027344, y=0.5365192890167236, z=0.27530714869499207, yaw=0.2946014404296875
Point #258: x=-88.3062744140625, y=21.53060531616211, z=0.3499999940395355, yaw=89.84361267089844
Point #259: x=-84.8062973022461, y=27.021087646484375, z=0.3499999940395355, yaw=89.84374237060547
Point #260: x=-77.88716888427734, y=-8.140572547912598, z=0.27530714869499207, yaw=-90.15623474121094
Point #261: x=-74.38717651367188, y=-18.55011749267578, z=0.27530714869499207, yaw=-90.15623474121094
Point #262: x=-67.1549072265625, y=-136.210205078125, z=0.27530714869499207, yaw=1.227276086807251
Point #263: x=-99.6201171875, y=-140.34010314941406, z=0.699999988079071, yaw=-178.77268981933594
Point #264: x=-85.21101379394531, y=-126.87477111816406, z=0.27530714869499207, yaw=89.84374237060547
