Point #0: x=-44.18832778930664, y=-39.61061096191406, z=0.44999998807907104, yaw=-90.33749389648438
Point #91: x=-37.0338134765625, y=6.139479160308838, z=0.29999998211860657, yaw=-0.13946533203125
Point #92: x=-62.8712043762207, y=-4.2976603507995605, z=0.29999998211860657, yaw=179.86048889160156
Point #93: x=-61.56268310546875, y=-0.8008368015289307, z=0.29999998211860657, yaw=179.86048889160156
Point #94: x=-44.031494140625, y=-11.261844635009766, z=0.44999998807907104, yaw=-90.3905029296875
Point #95: x=-50.60231018066406, y=13.267327308654785, z=0.5999999642372131, yaw=88.90803527832031
Point #96: x=-47.541664123535156, y=-12.738286018371582, z=0.44999998807907104, yaw=-90.3905029296875
Point #97: x=-54.08071517944336, y=14.433826446533203, z=0.5999999642372131, yaw=88.90803527832031
Point #98: x=-114.0228500366211, y=151.17660522460938, z=0.5, yaw=0.26969900727272034
Point #99: x=-115.23932647705078, y=154.67092895507812, z=0.5, yaw=0.26969900727272034
Point #100: x=-136.2187042236328, y=144.07208251953125, z=0.5, yaw=-179.73025512695312
Point #101: x=-135.2351837158203, y=147.57672119140625, z=0.5, yaw=-179.73025512695312
Point #102: x=-120.00481414794922, y=136.57192993164062, z=0.29999998211860657, yaw=-90.51138305664062
Point #103: x=-123.52071380615234, y=134.8028564453125, z=0.29999998211860657, yaw=-90.51138305664062
Point #104: x=28.07124900817871, y=102.15204620361328, z=0.29999998211860657, yaw=90.02289581298828
Point #105: x=43.82861328125, y=95.54215240478516, z=0.29999998211860657, yaw=-0.41619873046875
Point #106: x=17.80738639831543, y=88.08705139160156, z=0.29999998211860657, yaw=-179.93441772460938
Point #107: x=24.570613861083984, y=103.75064849853516, z=0.29999998211860657, yaw=90.02289581298828
Point #108: x=-112.20529174804688, y=-84.56281280517578, z=0.29999998211860657, yaw=0.08630399405956268
Point #109: x=35.0816535949707, y=76.11851501464844, z=0.29999998211860657, yaw=-89.97711181640625
Point #110: x=31.582284927368164, y=74.51712799072266, z=0.29999998211860657, yaw=-89.97711181640625
Point #111: x=16.21141815185547, y=84.58518981933594, z=0.29999998211860657, yaw=-179.93441772460938
Point #112: x=41.803245544433594, y=92.05677795410156, z=0.29999998211860657, yaw=-0.41619873046875
Point #113: x=35.079341888427734, y=-154.96981811523438, z=0.29999998211860657, yaw=-88.46794891357422
Point #114: x=38.53264617919922, y=-153.17686462402344, z=0.29999998211860657, yaw=-88.46794891357422
Point #115: x=27.71959686279297, y=-141.61280822753906, z=0.29999998211860657, yaw=91.5320816040039
Point #116: x=31.263790130615234, y=-143.21859741210938, z=0.29999998211860657, yaw=91.5320816040039
Point #117: x=44.27344512939453, y=-145.96495056152344, z=0.5999999642372131, yaw=-1.3133851289749146
Point #118: x=28.052207946777344, y=149.83567810058594, z=0.29999998211860657, yaw=90.02289581298828
Point #119: x=33.726768493652344, y=-104.39877319335938, z=0.29999998211860657, yaw=-88.46794891357422
Point #120: x=24.552719116210938, y=148.53428649902344, z=0.29999998211860657, yaw=90.02289581298828
Point #121: x=-130.80255126953125, y=103.26210021972656, z=0.29999998211860657, yaw=89.48860168457031
Point #122: x=-141.6317901611328, y=87.9046401977539, z=0.29999998211860657, yaw=-179.93441772460938
Point #123: x=-143.72755432128906, y=84.40223693847656, z=0.29999998211860657, yaw=-179.93441772460938
Point #124: x=37.30215072631836, y=208.752197265625, z=0.29999998211860657, yaw=0.2878139317035675
Point #125: x=38.51970672607422, y=205.25836181640625, z=0.29999998211860657, yaw=0.2878139317035675
Point #126: x=31.540794372558594, y=178.3596954345703, z=0.29999998211860657, yaw=-89.97711181640625
Point #127: x=35.040283203125, y=179.6610870361328, z=0.29999998211860657, yaw=-89.97711181640625
Point #128: x=28.07124900817871, y=54.34798049926758, z=0.29999998211860657, yaw=90.02289581298828
Point #129: x=-131.23118591308594, y=55.245819091796875, z=0.29999998211860657, yaw=89.48860168457031
Point #130: x=37.26561737060547, y=-105.80461883544922, z=0.29999998211860657, yaw=-88.46794891357422
Point #131: x=24.57069206237793, y=55.746585845947266, z=0.29999998211860657, yaw=90.02289581298828
Point #132: x=-17.587875366210938, y=-4.413763523101807, z=0.29999998211860657, yaw=179.86048889160156
Point #133: x=-19.079280853271484, y=-0.8801214694976807, z=0.29999998211860657, yaw=179.86048889160156
Point #134: x=28.052719116210938, y=121.19792938232422, z=0.29999998211860657, yaw=90.02289581298828
Point #135: x=24.55208396911621, y=122.79653930664062, z=0.29999998211860657, yaw=90.02289581298828
Point #136: x=-10.121179580688477, y=95.55509185791016, z=0.29999998211860657, yaw=-0.41619873046875
Point #137: x=-8.746603965759277, y=92.05677795410156, z=0.29999998211860657, yaw=-0.41619873046875
Point #138: x=-130.66696166992188, y=118.4532470703125, z=0.29999998211860657, yaw=89.48860168457031
Point #139: x=-195.07919311523438, y=-29.398744583129883, z=0.5999999642372131, yaw=89.98419189453125
Point #140: x=-184.58648681640625, y=-55.941497802734375, z=0.5999999642372131, yaw=-90.01580810546875
Point #141: x=24.707122802734375, y=-28.980844497680664, z=0.29999998211860657, yaw=91.5320816040039
Point #142: x=-188.08587646484375, y=-53.540184020996094, z=0.5999999642372131, yaw=-90.01580810546875
Point #143: x=-191.58642578125, y=-55.96866989135742, z=0.5999999642372131, yaw=89.98419189453125
Point #144: x=-195.08583068847656, y=-53.56874465942383, z=0.5999999642372131, yaw=89.98419189453125
Point #145: x=-184.56076049804688, y=38.02849578857422, z=0.5999999642372131, yaw=-90.01580810546875
Point #146: x=-188.06117248535156, y=36.22980880737305, z=0.5999999642372131, yaw=-90.01580810546875
Point #147: x=-191.56069946289062, y=38.00132369995117, z=0.5999999642372131, yaw=89.98419189453125
Point #148: x=-195.06112670898438, y=36.20124816894531, z=0.5999999642372131, yaw=89.98419189453125
Point #149: x=-184.5554962158203, y=57.08849334716797, z=0.5999999642372131, yaw=-90.01580810546875
Point #150: x=-188.055908203125, y=55.28981018066406, z=0.5999999642372131, yaw=-90.01580810546875
Point #151: x=-191.55545043945312, y=57.06132125854492, z=0.5999999642372131, yaw=89.98419189453125
Point #152: x=28.240623474121094, y=-30.18678855895996, z=0.29999998211860657, yaw=91.5320816040039
Point #153: x=-195.05587768554688, y=55.26124954223633, z=0.5999999642372131, yaw=89.98419189453125
Point #154: x=-54.1959228515625, y=55.44477462768555, z=0.5999999642372131, yaw=90.37928009033203
Point #155: x=-50.68539047241211, y=53.86796188354492, z=0.5999999642372131, yaw=90.37928009033203
Point #156: x=-47.19607162475586, y=55.49112319946289, z=0.5999999642372131, yaw=-89.6207275390625
Point #157: x=-43.68553924560547, y=53.914310455322266, z=0.5999999642372131, yaw=-89.6207275390625
Point #158: x=28.046693801879883, y=163.6456756591797, z=0.29999998211860657, yaw=90.02289581298828
Point #159: x=24.547365188598633, y=161.9442901611328, z=0.29999998211860657, yaw=90.02289581298828
Point #160: x=35.06363296508789, y=121.19528198242188, z=0.29999998211860657, yaw=-89.97711181640625
Point #161: x=58.182586669921875, y=187.85682678222656, z=0.29999998211860657, yaw=-179.71951293945312
Point #162: x=58.14643096923828, y=194.8567352294922, z=0.29999998211860657, yaw=-179.712158203125
Point #163: x=-47.60002899169922, y=-22.85030746459961, z=0.44999998807907104, yaw=-90.33749389648438
Point #164: x=55.86400604248047, y=191.3450927734375, z=0.29999998211860657, yaw=-179.712158203125
Point #165: x=-17.602392196655273, y=2.592170238494873, z=0.29999998211860657, yaw=-0.13946533203125
Point #166: x=-19.093873977661133, y=6.095812797546387, z=0.29999998211860657, yaw=-0.13946533203125
Point #167: x=-131.7760467529297, y=-60.014007568359375, z=0.29999998211860657, yaw=90.39354705810547
Point #168: x=-128.2843475341797, y=-58.789974212646484, z=0.29999998211860657, yaw=90.39354705810547
Point #169: x=-124.77713775634766, y=-59.83091354370117, z=0.29999998211860657, yaw=-89.6064453125
Point #170: x=-121.28543853759766, y=-58.60688018798828, z=0.29999998211860657, yaw=-89.6064453125
Point #171: x=-158.20986938476562, y=2.9344122409820557, z=0.29999998211860657, yaw=-0.13946533203125
Point #172: x=-159.70135498046875, y=6.438059329986572, z=0.29999998211860657, yaw=-0.13946533203125
Point #173: x=-158.2023162841797, y=-4.065610885620117, z=0.29999998211860657, yaw=179.86048889160156
Point #174: x=-44.09182357788086, y=-21.470951080322266, z=0.44999998807907104, yaw=-90.33749389648438
Point #175: x=-159.6938018798828, y=-0.5619698762893677, z=0.29999998211860657, yaw=179.86048889160156
Point #176: x=-220.0489044189453, y=-3.9150733947753906, z=0.29999998211860657, yaw=179.86048889160156
Point #177: x=-217.640380859375, y=-0.4209260046482086, z=0.29999998211860657, yaw=179.86048889160156
Point #178: x=-82.61115264892578, y=-4.2496018409729, z=0.29999998211860657, yaw=179.86048889160156
Point #179: x=-81.40263366699219, y=-0.7525340914726257, z=0.29999998211860657, yaw=179.86048889160156
Point #180: x=-82.60248565673828, y=2.7503809928894043, z=0.29999998211860657, yaw=-0.13946533203125
Point #181: x=-81.39397430419922, y=6.247448444366455, z=0.29999998211860657, yaw=-0.13946533203125
Point #182: x=-90.7665023803711, y=94.96285247802734, z=0.29999998211860657, yaw=0.06556998938322067
Point #183: x=-88.9625015258789, y=91.46491241455078, z=0.29999998211860657, yaw=0.06556998938322067
Point #184: x=-90.77731323242188, y=87.96279907226562, z=0.29999998211860657, yaw=-179.93441772460938
Point #185: x=-54.05988311767578, y=34.895240783691406, z=0.5999999642372131, yaw=90.37928009033203
Point #186: x=-88.97330474853516, y=84.46485900878906, z=0.29999998211860657, yaw=-179.93441772460938
Point #187: x=-78.55085754394531, y=-88.01239013671875, z=0.29999998211860657, yaw=0.08630598336458206
Point #188: x=-80.0561294555664, y=-84.51463317871094, z=0.29999998211860657, yaw=0.08630598336458206
Point #189: x=-78.57659912109375, y=-95.01242065429688, z=0.29999998211860657, yaw=-179.9136962890625
Point #190: x=-80.08187103271484, y=-91.51465606689453, z=0.29999998211860657, yaw=-179.9136962890625
Point #191: x=27.368534088134766, y=-128.48745727539062, z=0.29999998211860657, yaw=91.5320816040039
Point #192: x=30.915138244628906, y=-130.18319702148438, z=0.29999998211860657, yaw=91.5320816040039
Point #193: x=27.042097091674805, y=-116.28182220458984, z=0.29999998211860657, yaw=91.5320816040039
Point #194: x=30.58843421936035, y=-117.96757507324219, z=0.29999998211860657, yaw=91.5320816040039
Point #195: x=34.04145050048828, y=-116.16455078125, z=0.29999998211860657, yaw=-88.46794891357422
Point #196: x=-50.54935073852539, y=33.31844711303711, z=0.5999999642372131, yaw=90.37928009033203
Point #197: x=37.58832931518555, y=-117.87030792236328, z=0.29999998211860657, yaw=-88.46794891357422
Point #198: x=34.37168884277344, y=-128.51025390625, z=0.29999998211860657, yaw=-88.46794891357422
Point #199: x=37.918296813964844, y=-130.2060089111328, z=0.29999998211860657, yaw=-88.46794891357422
Point #200: x=0.5620709657669067, y=-4.457942008972168, z=0.29999998211860657, yaw=179.86048889160156
Point #201: x=-0.9293797016143799, y=-0.9443005919456482, z=0.29999998211860657, yaw=179.86048889160156
Point #202: x=0.5475534200668335, y=2.5479907989501953, z=0.29999998211860657, yaw=-0.13946533203125
Point #203: x=-0.9439240097999573, y=6.051632404327393, z=0.29999998211860657, yaw=-0.13946533203125
Point #204: x=-20.188446044921875, y=-87.9242172241211, z=0.29999998211860657, yaw=0.08630598336458206
Point #205: x=-18.793718338012695, y=-84.42214965820312, z=0.29999998211860657, yaw=0.08630598336458206
Point #206: x=-18.78328514099121, y=-91.42205047607422, z=0.29999998211860657, yaw=-179.9136962890625
Point #207: x=-265.4902648925781, y=19.596803665161133, z=0.29999998211860657, yaw=-90.58377075195312
Point #208: x=-20.17801284790039, y=-94.92411804199219, z=0.29999998211860657, yaw=-179.9136962890625
Point #209: x=-0.35846415162086487, y=-87.89436340332031, z=0.29999998211860657, yaw=0.08630598336458206
Point #210: x=1.0362632274627686, y=-84.39229583740234, z=0.29999998211860657, yaw=0.08630598336458206
Point #211: x=1.046695351600647, y=-91.39219665527344, z=0.29999998211860657, yaw=-179.9136962890625
Point #212: x=-0.34803202748298645, y=-94.8942642211914, z=0.29999998211860657, yaw=-179.9136962890625
Point #213: x=-159.06178283691406, y=87.88468933105469, z=0.29999998211860657, yaw=-179.93441772460938
Point #214: x=-161.35755920410156, y=84.38201904296875, z=0.29999998211860657, yaw=-179.93441772460938
Point #215: x=-159.07650756835938, y=94.88469696044922, z=0.29999998211860657, yaw=0.06556998938322067
Point #216: x=-161.37249755859375, y=91.38201904296875, z=0.29999998211860657, yaw=0.06556998938322067
Point #217: x=31.562999725341797, y=122.79389190673828, z=0.29999998211860657, yaw=-89.97711181640625
Point #218: x=-268.9778747558594, y=20.83240509033203, z=0.29999998211860657, yaw=-90.58377075195312
Point #219: x=-141.60215759277344, y=-95.10709381103516, z=0.29999998211860657, yaw=-179.9136962890625
Point #220: x=-98.2011489868164, y=-4.211654186248779, z=0.29999998211860657, yaw=179.86048889160156
Point #221: x=-96.99263763427734, y=-0.7145858407020569, z=0.29999998211860657, yaw=179.86048889160156
Point #222: x=-98.19248962402344, y=2.7883288860321045, z=0.29999998211860657, yaw=-0.13946533203125
Point #223: x=-96.98397064208984, y=6.285393714904785, z=0.29999998211860657, yaw=-0.13946533203125
Point #224: x=31.704620361328125, y=-28.793685913085938, z=0.29999998211860657, yaw=-88.46794891357422
Point #225: x=35.23812484741211, y=-29.999629974365234, z=0.29999998211860657, yaw=-88.46794891357422
Point #226: x=24.59943962097168, y=31.597896575927734, z=0.29999998211860657, yaw=90.02289581298828
Point #227: x=28.09999656677246, y=30.199296951293945, z=0.29999998211860657, yaw=90.02289581298828
Point #228: x=35.09933090209961, y=30.202098846435547, z=0.29999998211860657, yaw=-89.97711181640625
Point #229: x=31.59943962097168, y=31.60070037841797, z=0.29999998211860657, yaw=-89.97711181640625
Point #230: x=-131.91021728515625, y=-40.4744758605957, z=0.29999998211860657, yaw=90.39354705810547
Point #231: x=-128.3958740234375, y=-42.55039596557617, z=0.29999998211860657, yaw=90.39354705810547
Point #232: x=-164.73196411132812, y=-88.14189910888672, z=0.29999998211860657, yaw=0.08630399405956268
Point #233: x=-162.53724670410156, y=-84.63864135742188, z=0.29999998211860657, yaw=0.08630399405956268
Point #234: x=-143.80743408203125, y=-91.61036682128906, z=0.29999998211860657, yaw=-179.9136962890625
Point #235: x=-95.2666015625, y=-95.0374984741211, z=0.29999998211860657, yaw=-179.9136962890625
Point #236: x=-96.7718734741211, y=-91.53973388671875, z=0.29999998211860657, yaw=-179.9136962890625
Point #237: x=24.707122802734375, y=-51.03455352783203, z=0.29999998211860657, yaw=91.5320816040039
Point #238: x=28.240623474121094, y=-52.24053192138672, z=0.29999998211860657, yaw=91.5320816040039
Point #239: x=69.34160614013672, y=-207.7470245361328, z=0.29999998211860657, yaw=179.757080078125
Point #240: x=71.05644226074219, y=-204.25433349609375, z=0.29999998211860657, yaw=179.757080078125
Point #241: x=69.37128448486328, y=-200.74708557128906, z=0.29999998211860657, yaw=179.757080078125
Point #242: x=196.74032592773438, y=-11.108692169189453, z=0.29999998211860657, yaw=89.33090209960938
Point #243: x=193.27186584472656, y=-13.767634391784668, z=0.29999998211860657, yaw=89.33090209960938
Point #244: x=189.74081420898438, y=-11.026947975158691, z=0.29999998211860657, yaw=89.33090209960938
Point #245: x=-132.02427673339844, y=-23.866113662719727, z=0.29999998211860657, yaw=90.39354705810547
Point #246: x=69.40094757080078, y=-193.7471466064453, z=0.29999998211860657, yaw=-0.2429504096508026
Point #247: x=70.61578369140625, y=-190.2522735595703, z=0.29999998211860657, yaw=-0.2429504096508026
Point #248: x=69.43062591552734, y=-186.74720764160156, z=0.29999998211860657, yaw=-0.2429504096508026
Point #249: x=7.056835651397705, y=-207.48294067382812, z=0.29999998211860657, yaw=179.757080078125
Point #250: x=8.571527481079102, y=-203.98941040039062, z=0.6799139380455017, yaw=179.757080078125
Point #251: x=7.086513042449951, y=-200.48300170898438, z=0.29999998211860657, yaw=179.757080078125
Point #252: x=7.118867874145508, y=-193.4830780029297, z=0.4999820590019226, yaw=-0.2429504096508026
Point #253: x=8.5335693359375, y=-189.98907470703125, z=0.4812352955341339, yaw=-0.2429504096508026
Point #254: x=7.148544788360596, y=-186.483154296875, z=0.4999820590019226, yaw=-0.2429504096508026
Point #255: x=211.03936767578125, y=13.862580299377441, z=0.29999998211860657, yaw=-89.33535766601562
Point #256: x=-128.50994873046875, y=-25.942020416259766, z=0.29999998211860657, yaw=90.39354705810547
Point #257: x=207.57090759277344, y=11.122167587280273, z=0.29999998211860657, yaw=-89.33535766601562
Point #258: x=204.03985595703125, y=13.78138256072998, z=0.29999998211860657, yaw=-89.33535766601562
Point #259: x=-47.06003189086914, y=34.941585540771484, z=0.5999999642372131, yaw=-89.6207275390625
Point #260: x=-43.54949951171875, y=33.36479568481445, z=0.5999999642372131, yaw=-89.6207275390625
Point #261: x=-54.599910736083984, y=-22.810482025146484, z=0.44999998807907104, yaw=89.66251373291016
Point #262: x=-51.091712951660156, y=-21.431129455566406, z=0.44999998807907104, yaw=89.66251373291016
Point #263: x=-125.0244369506836, y=-23.818031311035156, z=0.29999998211860657, yaw=-89.6064453125
Point #264: x=-121.51011657714844, y=-25.893939971923828, z=0.29999998211860657, yaw=-89.6064453125
Point #265: x=-131.45675659179688, y=28.9866886138916, z=0.29999998211860657, yaw=89.48860168457031
Point #266: x=-127.97992706298828, y=27.35561180114746, z=0.29999998211860657, yaw=89.48860168457031
Point #267: x=-275.6298522949219, y=-21.2084903717041, z=0.29999998211860657, yaw=90.41679382324219
Point #268: x=-120.9802017211914, y=27.29313850402832, z=0.29999998211860657, yaw=-90.51138305664062
Point #269: x=-124.45703887939453, y=28.924217224121094, z=0.29999998211860657, yaw=-90.51138305664062
Point #270: x=-124.48441314697266, y=-102.44091796875, z=0.29999998211860657, yaw=-89.6064453125
Point #271: x=-120.97422790527344, y=-103.9168701171875, z=0.29999998211860657, yaw=-89.6064453125
Point #272: x=-131.65994262695312, y=-76.91120147705078, z=0.29999998211860657, yaw=90.39354705810547
Point #273: x=-128.17234802246094, y=-75.08718872070312, z=0.29999998211860657, yaw=90.39354705810547
Point #274: x=-51.01600646972656, y=103.80189514160156, z=0.5, yaw=90.37928009033203
Point #275: x=-36.2621955871582, y=95.02519226074219, z=0.29999998211860657, yaw=0.06556998938322067
Point #276: x=-54.5059700012207, y=102.2783203125, z=0.5, yaw=90.37928009033203
Point #277: x=-63.54731369018555, y=87.99398040771484, z=0.29999998211860657, yaw=-179.93441772460938
Point #278: x=-272.1161804199219, y=-23.082984924316406, z=0.29999998211860657, yaw=90.41679382324219
Point #279: x=-43.83694076538086, y=76.78081512451172, z=0.5999999642372131, yaw=-89.62068939208984
Point #280: x=-47.32692337036133, y=75.25765991210938, z=0.5999999642372131, yaw=-89.62068939208984
