Point #0: x=-1.251381754875183, y=-88.57840728759766, z=0.3999999761581421, yaw=-89.5206298828125
Point #31: x=-102.47323608398438, y=-55.06931686401367, z=0.29999998211860657, yaw=90.30587005615234
Point #32: x=12.21001148223877, y=59.49699020385742, z=0.7999999523162842, yaw=-176.73570251464844
Point #33: x=33.14877700805664, y=63.7092399597168, z=0.29999998211860657, yaw=1.6772006750106812
Point #34: x=-193.07339477539062, y=-244.08705139160156, z=0.3999999761581421, yaw=141.5753173828125
Point #35: x=-176.38101196289062, y=-245.38226318359375, z=1.209000587463379, yaw=11.586814880371094
Point #36: x=-202.24717712402344, y=-26.187023162841797, z=0.29999998211860657, yaw=93.0218505859375
Point #37: x=-190.402587890625, y=-33.7667236328125, z=0.29999998211860657, yaw=0.44400015473365784
Point #38: x=72.06253814697266, y=-6.896622180938721, z=0.5, yaw=-62.64191436767578
Point #39: x=-172.8851776123047, y=111.6861801147461, z=0.29999998211860657, yaw=6.127446174621582
Point #40: x=15.010706901550293, y=63.29130554199219, z=0.7999999523162842, yaw=3.264296531677246
Point #41: x=-190.4875030517578, y=-241.71173095703125, z=1.399999976158142, yaw=-35.19694137573242
Point #42: x=-64.40751647949219, y=-90.62640380859375, z=0.29999998211860657, yaw=41.1769905090332
Point #43: x=-42.24329376220703, y=-88.24080657958984, z=0.29999998211860657, yaw=-0.08966064453125
Point #44: x=-27.465063095092773, y=-90.35963439941406, z=0.29999998211860657, yaw=-39.28397750854492
Point #45: x=-110.69503021240234, y=48.96919250488281, z=0.29999998211860657, yaw=-179.5030517578125
Point #46: x=-99.60252380371094, y=43.710227966308594, z=0.29999998211860657, yaw=-88.33091735839844
Point #47: x=-104.16006469726562, y=62.580989837646484, z=0.5, yaw=94.72067260742188
Point #48: x=-90.35879516601562, y=57.03028869628906, z=0.5, yaw=3.264296531677246
Point #49: x=-144.52381896972656, y=51.97590637207031, z=0.29999998211860657, yaw=0.4969326853752136
Point #50: x=-158.2543182373047, y=48.7567024230957, z=0.29999998211860657, yaw=-179.5030517578125
Point #51: x=-149.68948364257812, y=43.354820251464844, z=0.29999998211860657, yaw=-89.31444549560547
Point #52: x=-192.223388671875, y=51.562191009521484, z=0.29999998211860657, yaw=0.4969326853752136
Point #53: x=-199.76185607910156, y=41.769569396972656, z=0.29999998211860657, yaw=-92.7020034790039
Point #54: x=-202.53428649902344, y=58.54450225830078, z=0.29999998211860657, yaw=90.4688491821289
Point #55: x=-13.566306114196777, y=57.955745697021484, z=0.3999999761581421, yaw=-176.73570251464844
Point #56: x=-148.65243530273438, y=-43.31443405151367, z=0.5, yaw=-89.31443786621094
Point #57: x=-151.95326232910156, y=-26.5505313873291, z=0.5999999642372131, yaw=90.68553924560547
Point #58: x=-102.33504486083984, y=-86.34275817871094, z=0.29999998211860657, yaw=90.10100555419922
Point #59: x=-141.4667510986328, y=-33.38750076293945, z=0.5, yaw=0.4439959228038788
Point #60: x=-158.8330535888672, y=-36.622169494628906, z=0.5, yaw=-179.5559844970703
Point #61: x=68.61209869384766, y=68.69637298583984, z=0.29999998211860657, yaw=72.75223541259766
Point #62: x=-198.17605590820312, y=-170.2450714111328, z=0.29999998211860657, yaw=-89.97793579101562
Point #63: x=-2.40423846244812, y=50.807430267333984, z=0.29999998211860657, yaw=-89.52059936523438
Point #64: x=4.2260565757751465, y=62.4762077331543, z=0.7999999523162842, yaw=3.2642993927001953
Point #65: x=-0.5701436996459961, y=-168.3969268798828, z=0.29999998211860657, yaw=-89.52059936523438
Point #66: x=-11.390172958374023, y=-161.2372283935547, z=0.5, yaw=-179.44082641601562
Point #67: x=-4.2223029136657715, y=-150.22608947753906, z=0.29999998211860657, yaw=90.4793701171875
Point #68: x=-18.74679946899414, y=-105.44465637207031, z=0.29999998211860657, yaw=0.17931760847568512
Point #69: x=-31.429941177368164, y=-108.99156188964844, z=0.29999998211860657, yaw=-179.8206329345703
Point #70: x=59.850379943847656, y=60.21933364868164, z=0.29999998211860657, yaw=168.66531372070312
Point #71: x=-91.85997772216797, y=1.0533088445663452, z=0.29999998211860657, yaw=-0.558502197265625
Point #72: x=73.53627014160156, y=57.75009536743164, z=0.29999998211860657, yaw=-37.50053024291992
Point #73: x=-106.74210357666016, y=-100.93155670166016, z=0.29999998211860657, yaw=-159.0975799560547
Point #74: x=-106.82709503173828, y=-36.41916275024414, z=0.29999998211860657, yaw=-179.5559844970703
Point #75: x=-5.016504287719727, y=-55.30598831176758, z=0.29999998211860657, yaw=90.4793701171875
Point #76: x=-102.811279296875, y=8.247766494750977, z=0.29999998211860657, yaw=90.30587005615234
Point #77: x=-198.4719696044922, y=-44.83026123046875, z=0.29999998211860657, yaw=-89.1863021850586
Point #78: x=-184.4961700439453, y=107.22130584716797, z=0.29999998211860657, yaw=-173.87254333496094
Point #79: x=-5.542784690856934, y=7.593197345733643, z=0.29999998211860657, yaw=90.4793701171875
Point #80: x=56.97420883178711, y=-3.021436929702759, z=0.29999998211860657, yaw=-178.3082733154297
Point #81: x=-76.23523712158203, y=-105.63176727294922, z=0.29999998211860657, yaw=0.1793333888053894
Point #82: x=-106.79462432861328, y=109.26187133789062, z=0.5, yaw=-83.4636459350586
Point #83: x=-98.60738372802734, y=119.95513153076172, z=0.29999998211860657, yaw=6.740970134735107
Point #84: x=-117.45620727539062, y=114.50498962402344, z=0.29999998211860657, yaw=-173.25900268554688
Point #85: x=-201.53326416015625, y=-151.54493713378906, z=0.29999998211860657, yaw=90.0220718383789
Point #86: x=-99.2152099609375, y=-9.73534107208252, z=0.29999998211860657, yaw=-89.694091796875
Point #87: x=-135.85142517089844, y=-96.97862243652344, z=0.29999998211860657, yaw=-2.950623035430908
Point #88: x=-62.97930908203125, y=-158.2405548095703, z=0.5, yaw=0.5591732263565063
Point #89: x=-76.3010025024414, y=-148.78709411621094, z=0.5, yaw=106.73687744140625
Point #90: x=-98.79217529296875, y=-158.590087890625, z=0.5, yaw=0.5591732263565063
Point #91: x=-110.75785827636719, y=-162.20704650878906, z=0.5, yaw=-179.44082641601562
Point #92: x=-120.28606414794922, y=-158.79986572265625, z=0.5, yaw=0.5591732263565063
Point #93: x=-131.82110595703125, y=-162.4168243408203, z=0.5, yaw=-179.44082641601562
Point #94: x=-1.8602672815322876, y=-14.206019401550293, z=0.29999998211860657, yaw=-89.5206298828125
Point #95: x=5.5289435386657715, y=0.10395676642656326, z=0.29999998211860657, yaw=-0.558502197265625
Point #96: x=-15.761754035949707, y=0.31149953603744507, z=0.29999998211860657, yaw=-0.55853271484375
Point #97: x=-12.896759986877441, y=-3.216594696044922, z=0.29999998211860657, yaw=179.44149780273438
Point #98: x=-151.4938507080078, y=-81.66204071044922, z=0.29999998211860657, yaw=90.68550109863281
Point #99: x=-1.0077980756759644, y=-116.090087890625, z=0.29999998211860657, yaw=-89.5206298828125
Point #100: x=-4.6582794189453125, y=-98.11974334716797, z=0.29999998211860657, yaw=90.4793701171875
Point #101: x=-11.674381256103516, y=-108.93036651611328, z=0.3999999761581421, yaw=-179.8206329345703
Point #102: x=-80.10224151611328, y=-136.146484375, z=0.6499999761581421, yaw=106.73687744140625
Point #103: x=-98.88190460205078, y=-72.16828155517578, z=0.29999998211860657, yaw=-89.694091796875
Point #104: x=-99.25244903564453, y=-40.22372817993164, z=0.29999998211860657, yaw=-89.694091796875
Point #105: x=-102.61219787597656, y=-29.04216957092285, z=0.29999998211860657, yaw=90.30587005615234
Point #106: x=14.186484336853027, y=-237.30560302734375, z=0.5999999642372131, yaw=23.485288619995117
Point #107: x=-22.68874168395996, y=-245.0731201171875, z=1.9446297883987427, yaw=-173.92654418945312
Point #108: x=-3.4166760444641113, y=-228.58360290527344, z=0.29999998211860657, yaw=90.4793701171875
Point #109: x=-27.796878814697266, y=-3.07134747505188, z=0.29999998211860657, yaw=179.44149780273438
Point #110: x=-57.51152038574219, y=-2.8362767696380615, z=0.29999998211860657, yaw=179.44149780273438
Point #111: x=-39.87778091430664, y=0.5465837121009827, z=0.29999998211860657, yaw=-0.558502197265625
Point #112: x=-74.74365234375, y=-142.2423553466797, z=0.699999988079071, yaw=-73.2630386352539
Point #113: x=-143.8319549560547, y=-89.7553482055664, z=0.29999998211860657, yaw=-36.99363708496094
Point #114: x=-60.38251876831055, y=-105.5821533203125, z=0.29999998211860657, yaw=0.17932121455669403
Point #115: x=-68.28301239013672, y=-98.8198013305664, z=0.29999998211860657, yaw=86.1834945678711
