Point #0: x=-64.64484405517578, y=24.471010208129883, z=0.5999999642372131, yaw=0.15919798612594604
Point #34: x=6.006511211395264, y=66.28325653076172, z=0.5999999642372131, yaw=-179.92672729492188
Point #35: x=-7.966956615447998, y=66.28325653076172, z=0.5999999642372131, yaw=-179.92672729492188
Point #36: x=67.65974426269531, y=69.8227767944336, z=0.5999999642372131, yaw=0.07327299565076828
Point #37: x=79.05529022216797, y=69.8227767944336, z=0.5999999642372131, yaw=0.07327299565076828
Point #38: x=73.63292694091797, y=66.35848999023438, z=0.5999999642372131, yaw=-179.92672729492188
Point #39: x=61.60259246826172, y=66.35848999023438, z=0.5999987721443176, yaw=-179.92672729492188
Point #40: x=106.02881622314453, y=67.41998291015625, z=0.5999999642372131, yaw=-89.6092529296875
Point #41: x=109.50276184082031, y=71.24378967285156, z=0.5999999642372131, yaw=-89.6092529296875
Point #42: x=106.00283813476562, y=92.81285095214844, z=0.5999999642372131, yaw=-89.6092529296875
Point #43: x=40.38964080810547, y=41.94549560546875, z=0.5999999642372131, yaw=89.2488784790039
Point #44: x=109.52326965332031, y=89.83672332763672, z=0.5999999642372131, yaw=-89.6092529296875
Point #45: x=65.23527526855469, y=13.414804458618164, z=0.5999999642372131, yaw=-179.84078979492188
Point #46: x=62.02554702758789, y=16.90589141845703, z=0.5999999642372131, yaw=-179.84078979492188
Point #47: x=45.382850646972656, y=13.414804458618164, z=0.5999999642372131, yaw=-179.84078979492188
Point #48: x=43.37312316894531, y=16.90922737121582, z=0.5999999642372131, yaw=-179.84078979492188
Point #49: x=15.143111228942871, y=16.681333541870117, z=0.699999988079071, yaw=-179.84078979492188
Point #50: x=20.45281219482422, y=13.196090698242188, z=0.699999988079071, yaw=-179.84078979492188
Point #51: x=-20.11511993408203, y=16.749099731445312, z=0.5999999642372131, yaw=-179.84078979492188
Point #52: x=-17.10540199279785, y=13.25745677947998, z=0.5999999642372131, yaw=-179.84078979492188
Point #53: x=-0.7641560435295105, y=24.61313247680664, z=0.5999999642372131, yaw=0.15919798612594604
Point #54: x=19.35021209716797, y=137.4599609375, z=0.5999999642372131, yaw=0.32044798135757446
Point #55: x=-3.973867654800415, y=28.104215621948242, z=0.5999999642372131, yaw=0.15919798612594604
Point #56: x=19.600942611694336, y=24.611188888549805, z=0.5999999642372131, yaw=0.15919798612594604
Point #57: x=17.091217041015625, y=28.104215621948242, z=0.5999999642372131, yaw=0.15919798612594604
Point #58: x=77.00810241699219, y=24.849666595458984, z=0.5999999642372131, yaw=0.15919798612594604
Point #59: x=74.79875183105469, y=28.34353256225586, z=0.5999999642372131, yaw=0.15919798612594604
Point #60: x=10.912545204162598, y=-57.40138626098633, z=0.5999999642372131, yaw=-0.0234375
Point #61: x=7.4111151695251465, y=-60.89999771118164, z=0.5999999642372131, yaw=-0.0234375
Point #62: x=106.51315307617188, y=-21.554595947265625, z=0.8999999761581421, yaw=-91.51957702636719
Point #63: x=109.9569091796875, y=-27.333675384521484, z=0.5999999642372131, yaw=-94.68233489990234
Point #64: x=30.018199920654297, y=133.94720458984375, z=0.5999999642372131, yaw=-179.67953491210938
Point #65: x=109.94696807861328, y=-17.187952041625977, z=0.5999987721443176, yaw=-89.6092529296875
Point #66: x=-6.554497718811035, y=137.2259521484375, z=0.5999999642372131, yaw=0.35211899876594543
Point #67: x=-41.85398864746094, y=-30.438610076904297, z=0.6000707745552063, yaw=-89.56768035888672
Point #68: x=-52.07392120361328, y=82.65496826171875, z=0.5999999642372131, yaw=89.83876037597656
Point #69: x=-28.581729888916016, y=140.53555297851562, z=0.5999999642372131, yaw=0.35212698578834534
Point #70: x=-18.385923385620117, y=130.21006774902344, z=0.5999999642372131, yaw=-179.6478271484375
Point #71: x=-9.875875473022461, y=-57.55167007446289, z=0.5999999642372131, yaw=0.5967410802841187
Point #72: x=11.176283836364746, y=-64.39876556396484, z=0.5999999642372131, yaw=179.9765625
Point #73: x=-15.407496452331543, y=133.7284698486328, z=0.5999999642372131, yaw=-179.6478271484375
Point #74: x=14.274852752685547, y=-67.89999389648438, z=0.5999999642372131, yaw=179.9765625
Point #75: x=-110.76443481445312, y=46.66007614135742, z=0.5999999642372131, yaw=90.6422348022461
Point #76: x=99.07855987548828, y=42.14179992675781, z=0.5999999642372131, yaw=90.39070892333984
Point #77: x=-78.03414916992188, y=12.967159271240234, z=0.5999999642372131, yaw=-179.84078979492188
Point #78: x=-71.26968383789062, y=132.3148956298828, z=0.5999999642372131, yaw=-167.12705993652344
Point #79: x=-41.66887664794922, y=48.905540466308594, z=0.5999999642372131, yaw=-90.16121673583984
Point #80: x=-87.27606201171875, y=24.441530227661133, z=0.5999999642372131, yaw=0.15919798612594604
Point #81: x=-5.78348970413208, y=-64.5486831665039, z=0.6000048518180847, yaw=-179.4032440185547
Point #82: x=-27.800329208374023, y=-61.2840461730957, z=0.5999999642372131, yaw=0.5967350006103516
Point #83: x=-27.16025161743164, y=137.04421997070312, z=0.5999999642372131, yaw=0.35212698578834534
Point #84: x=52.78997039794922, y=69.8227767944336, z=0.5999999642372131, yaw=0.07327299565076828
Point #85: x=-89.88578796386719, y=27.93427848815918, z=0.5999999642372131, yaw=0.15919798612594604
Point #86: x=-66.79419708251953, y=12.99838924407959, z=0.5999999642372131, yaw=-179.84078979492188
Point #87: x=106.01924896240234, y=50.86931228637695, z=0.5999999642372131, yaw=-89.6092529296875
Point #88: x=21.630592346191406, y=140.97271728515625, z=0.5999999642372131, yaw=0.32044798135757446
Point #89: x=-52.330810546875, y=-14.039613723754883, z=0.5999999642372131, yaw=90.43232727050781
Point #90: x=-64.10392761230469, y=16.505887985229492, z=0.5999999642372131, yaw=-179.84078979492188
Point #91: x=-76.66610717773438, y=24.471010208129883, z=0.5999999642372131, yaw=0.15919798612594604
Point #92: x=99.43485260009766, y=-19.65771484375, z=0.5999999642372131, yaw=90.8448486328125
Point #93: x=-25.51629638671875, y=24.613134384155273, z=0.5999999642372131, yaw=0.15919798612594604
Point #94: x=-79.27583312988281, y=27.96375846862793, z=0.5999999642372131, yaw=0.15919798612594604
Point #95: x=-45.34004592895508, y=-25.565021514892578, z=0.6000707745552063, yaw=-89.56768035888672
Point #96: x=-75.3438720703125, y=16.47465705871582, z=0.5999999642372131, yaw=-179.84078979492188
Point #97: x=44.02894973754883, y=52.54869842529297, z=0.5999999642372131, yaw=-90.75109100341797
Point #98: x=109.50276184082031, y=53.29315185546875, z=0.5999999642372131, yaw=-89.6092529296875
Point #99: x=-52.310935974121094, y=-1.5852383375167847, z=0.5999999642372131, yaw=89.83876037597656
Point #100: x=-106.68672943115234, y=-4.847458362579346, z=0.5999999642372131, yaw=-89.35775756835938
Point #101: x=-28.72602081298828, y=28.104217529296875, z=0.5999999642372131, yaw=0.15919798612594604
Point #102: x=-48.81998825073242, y=-4.795074939727783, z=0.5999999642372131, yaw=89.83876037597656
Point #103: x=-45.31125259399414, y=-1.6943949460983276, z=0.5999999642372131, yaw=-90.16121673583984
Point #104: x=-41.82510757446289, y=-6.604220867156982, z=0.5999999642372131, yaw=-90.16121673583984
Point #105: x=83.07522583007812, y=13.414804458618164, z=0.5999999642372131, yaw=-179.84078979492188
Point #106: x=-68.73516845703125, y=129.30384826660156, z=0.5999999642372131, yaw=-167.12705993652344
Point #107: x=59.81299591064453, y=24.850223541259766, z=0.5999999642372131, yaw=0.15919798612594604
Point #108: x=-52.186737060546875, y=42.56512451171875, z=0.5999999642372131, yaw=89.83876037597656
Point #109: x=-67.0452880859375, y=-68.69316864013672, z=0.5999999642372131, yaw=-179.4032440185547
Point #110: x=-48.83995056152344, y=-17.213199615478516, z=0.5999999642372131, yaw=90.43232727050781
Point #111: x=-45.317440032958984, y=-11.64532470703125, z=0.6000024080276489, yaw=-90.16121673583984
Point #112: x=102.56617736816406, y=43.965667724609375, z=0.5999999642372131, yaw=90.39070892333984
Point #113: x=-9.175959587097168, y=140.70989990234375, z=0.5999999642372131, yaw=0.35211899876594543
Point #114: x=29.235719680786133, y=16.765228271484375, z=0.5999999642372131, yaw=-179.84078979492188
Point #115: x=-41.8338623046875, y=-16.555164337158203, z=0.6000024080276489, yaw=-90.16121673583984
Point #116: x=-48.67435073852539, y=46.95527267456055, z=0.5999999642372131, yaw=89.83876037597656
Point #117: x=80.26549530029297, y=16.90700340270996, z=0.5999999642372131, yaw=-179.84078979492188
Point #118: x=27.14229393005371, y=66.28325653076172, z=0.5999999642372131, yaw=-179.92672729492188
Point #119: x=57.40364456176758, y=28.34353256225586, z=0.5999999642372131, yaw=0.15919798612594604
Point #120: x=-103.21614074707031, y=-2.2083921432495117, z=0.5999999642372131, yaw=-89.35775756835938
Point #121: x=-64.58186340332031, y=-65.16736602783203, z=0.5999999642372131, yaw=-179.4032440185547
Point #122: x=-48.565467834472656, y=85.6451187133789, z=0.5999999642372131, yaw=89.83876037597656
Point #123: x=-13.339423179626465, y=-61.05009078979492, z=0.5999999642372131, yaw=0.5967410802841187
Point #124: x=-27.022132873535156, y=69.71400451660156, z=0.5999999642372131, yaw=0.07327299565076828
Point #125: x=-114.23277282714844, y=43.821014404296875, z=0.5999999642372131, yaw=90.6422348022461
Point #126: x=-52.13356018066406, y=-40.1802978515625, z=0.5999999642372131, yaw=90.43230438232422
Point #127: x=102.98018646240234, y=-22.705795288085938, z=0.5999999642372131, yaw=90.8448486328125
Point #128: x=32.33772277832031, y=130.46006774902344, z=0.5999999642372131, yaw=-179.67953491210938
Point #129: x=-41.491477966308594, y=111.9452896118164, z=0.5999999642372131, yaw=-90.16121673583984
Point #130: x=-44.98299789428711, y=114.95514678955078, z=0.5999999642372131, yaw=-90.16121673583984
Point #131: x=109.91348266601562, y=-6.925446510314941, z=0.5999999642372131, yaw=-89.6092529296875
Point #132: x=106.3773422241211, y=-1.6494430303573608, z=0.5999999642372131, yaw=-89.6092529296875
Point #133: x=102.31767272949219, y=80.41472625732422, z=0.5999999642372131, yaw=90.39070892333984
Point #134: x=32.04544448852539, y=13.273029327392578, z=0.5999999642372131, yaw=-179.84078979492188
Point #135: x=-48.6427001953125, y=-43.35388946533203, z=0.5999999642372131, yaw=90.43230438232422
Point #136: x=85.98224639892578, y=66.35848999023438, z=0.5999999642372131, yaw=-179.92672729492188
Point #137: x=-45.149696350097656, y=55.715389251708984, z=0.5999999642372131, yaw=-90.16121673583984
Point #138: x=-52.330810546875, y=-28.861330032348633, z=0.5999999642372131, yaw=90.43232727050781
Point #139: x=-48.83995056152344, y=-32.03491973876953, z=0.5999999642372131, yaw=90.43232727050781
Point #140: x=-41.7498779296875, y=-41.37368392944336, z=0.5999999642372131, yaw=-89.56768035888672
Point #141: x=-45.23593521118164, y=-36.50009536743164, z=0.5999999642372131, yaw=-89.56768035888672
Point #142: x=102.93003845214844, y=-9.381519317626953, z=0.5999999642372131, yaw=90.39070892333984
Point #143: x=26.382587432861328, y=-57.40138626098633, z=0.5999999642372131, yaw=-0.0234375
Point #144: x=22.88115692138672, y=-60.89999771118164, z=0.5999999642372131, yaw=-0.0234375
Point #145: x=-15.448323249816895, y=-68.00706481933594, z=0.6000048518180847, yaw=-179.4032440185547
Point #146: x=-18.782678604125977, y=-64.70809173583984, z=0.9000048637390137, yaw=-179.4032440185547
Point #147: x=29.89404296875, y=-64.39876556396484, z=0.5999999642372131, yaw=179.9765625
Point #148: x=32.992610931396484, y=-67.89999389648438, z=0.5999999642372131, yaw=179.9765625
Point #149: x=47.55704879760742, y=-57.2252197265625, z=0.5999999642372131, yaw=-0.0234375
Point #150: x=44.055625915527344, y=-60.72383117675781, z=0.5999999642372131, yaw=-0.0234375
Point #151: x=54.46977233886719, y=-64.3486328125, z=0.5999999642372131, yaw=179.9765625
Point #152: x=57.56834030151367, y=-67.849853515625, z=0.5999999642372131, yaw=179.9765625
Point #153: x=-2.647038221359253, y=-68.04972076416016, z=0.6000048518180847, yaw=-179.4032440185547
Point #154: x=106.41629028320312, y=-12.711931228637695, z=0.5999987721443176, yaw=-89.6092529296875
